Name,Hours-worked,Hourly-rate
Jenny Parrish,44,58.75
Miss Deborah Camacho DDS,31,62.19
Jacob Ingram,57,27.58
Daniel Young,57,15.91
Thomas Jones,35,72.02
Todd Murphy,25,66.21
Miguel Phillips,38,44.45
Cory Peters,25,24.26
Karen Nelson,34,19.12
Timothy Rogers,51,21.25
Robert Lopez,31,73.91
Michael Ellison,30,48.55
Scott Lopez,60,17.55
Christina Smith,44,63.64
John Hatfield,48,59.58
Stephen Rose,28,57.11
James Griffin,20,52.86
Phyllis Gonzalez,41,61.04
Stephen Harris,44,29.33
Joseph Miller,23,38.65
Amber Butler,49,72.88
Timothy Lambert,40,53.02
Kathleen Hicks,28,63.49
Jeremy Carter,27,45.19
Amy Bell,26,55.19
Bonnie Conrad,21,36.12
Abigail Warner,48,48.72
Gregory Clark,56,37.93
Donna Matthews,47,74.99
Jenny Thompson,31,55.76
Marcia Crawford,35,40.19
Rebecca Flowers,50,56.13
Rachel Patterson,32,50.23
Jean Wilson,39,12.52
Joel Keller,57,34.82
Marie Ballard,27,25.59
Kimberly Nelson,55,15.13
James Robinson,39,30.23
Melanie Bass,36,39.51
Kelly Lawrence,41,52.02
Crystal Norton,47,36.02
Rhonda Hamilton,21,68.65
Brenda Johnson,21,11.17
Benjamin Doyle,50,54.13
Billy Horton,45,74.14
Stephanie Hahn,42,18.49
Gerald Arroyo,26,58.41
George Zavala,36,44.02
Denise Costa,52,72.0
Jerry Davidson,39,19.28
Nancy Douglas PhD,36,68.01
Michelle Ward,51,44.49
Donna Moore,41,74.17
Darius Moore,22,17.4
Dorothy Rose,27,38.24
Curtis Hall,38,28.85
Benjamin Howard,33,49.87
Charles Miller,53,34.25
Kenneth Fox,25,35.36
Shane Webb,33,53.11
Larry White,21,12.19
Scott Herrera,39,27.35
Michael Holmes,33,71.05
Shawna Hunter,22,58.76
Dr. Luke Jordan,26,68.01
Danielle Carpenter,43,64.71
Shelley Ortiz,21,19.16
Gregory Nielsen,26,17.39
James Thompson,24,63.72
Mark Johnson,55,16.49
Melissa Barton,23,18.52
Jennifer Fisher,47,33.2
Anthony Vasquez,47,41.34
Kimberly Ward,30,14.08
Brianna Dorsey,52,27.15
Paul Patterson,23,66.77
Patricia Dillon,51,13.81
David Jones,25,32.97
Edward Simmons,50,74.86
Scott Morales,37,29.5
Shane Herrera,36,70.17
David Rivera,32,29.33
Katie Walls MD,20,26.04
Brian Hunter,42,38.93
Mrs. April Cohen,57,56.35
David Washington,45,56.85
Jessica Carrillo,33,33.41
Crystal Mcintyre,45,74.49
James Zimmerman,45,60.76
Timothy Contreras,45,59.3
Megan Smith,30,18.4
John Boyd,32,65.84
Jessica Morales,27,42.32
Robert Daniels,43,74.57
Sheri Parrish,47,60.21
Victor Black,52,14.23
Hannah Peck,48,31.72
Kathleen Edwards,22,44.94
Erica Day,21,41.36
Charles Sweeney,38,28.88
Tara Gross,21,21.49
Elizabeth Gomez,23,69.44
Cole Phillips,31,45.08
Christina Cooley,27,11.09
Shane Vaughn,49,12.96
Jennifer Ochoa,31,31.46
Suzanne Martinez,37,27.95
Allison Chandler,33,64.84
Taylor Clark,21,41.34
Jonathan Clark,20,38.29
John Williams MD,43,26.73
Jacob Marshall,54,42.06
Brian Maxwell,22,48.42
Andrea Turner,56,31.09
Jamie Harris,21,74.55
Katelyn Perez,54,34.53
Stacy Ferguson,37,41.42
Brian Bauer,34,62.48
Elizabeth Williamson,46,16.99
Ryan Tapia,36,66.22
Pamela Mueller,40,70.26
Ariel Hill,23,25.3
Brent Macias,47,28.4
Elizabeth Mitchell,28,68.64
Tammy Johns,24,56.32
David Price,28,32.28
Alexander Cruz,36,45.26
Stephen Wood,55,26.5
Anna Acosta,56,37.61
John Hernandez,27,24.61
Sarah Roth,33,66.0
Cassandra Mitchell DDS,57,69.75
Katie Hunter,25,50.5
Jeffrey Mejia,48,35.64
Teresa Williams,27,70.77
Christine Chen,34,58.46
Virginia Smith,51,47.4
Donald Smith,55,11.03
Veronica Diaz,58,36.97
Margaret Martinez,44,70.69
Crystal Phillips,48,27.91
Jacob Richards,33,51.38
Joseph Duran,36,57.32
Veronica Harmon,57,65.81
Perry Beard,29,52.61
Nancy Small,48,29.7
Nathaniel Romero,43,35.43
Steven Ford,34,18.15
Cole Davis,24,25.47
Tyler Perez,20,15.61
Jessica Wilkins,40,12.13
Roberto Fisher,56,55.06
Jennifer Rodriguez,40,30.14
Noah Smith,59,17.39
Breanna Hayes,60,40.46
Dean Armstrong,34,15.29
Richard Walsh,54,35.71
Madison Key,55,72.14
Bailey Martinez,55,46.6
Daniel Phillips,27,18.37
Timothy Roberson,58,39.65
Connie Whitehead,53,29.31
Kevin Lane,44,33.96
Miguel Nelson,24,40.24
Brian Perez,46,16.9
Heather Santos,45,51.33
Angela Kelly,40,37.83
Janet Campbell,56,42.83
Krystal Thompson,34,63.93
Erin Davis,49,54.91
Gloria Mendez,47,69.28
William Tran,38,28.17
Christina Black,47,30.69
Michelle Williams,57,64.0
Alex Beck DDS,52,37.15
Jeff Stephens,49,39.23
Scott James,60,68.06
Nicole Schmidt,52,59.9
Jennifer Dunn,35,27.01
David Neal,60,28.84
Daniel Jones,48,18.47
Joshua Kidd,42,59.53
Catherine Wang,56,68.53
Kimberly King,35,15.4
Theodore Burgess,34,63.35
Larry Bartlett,53,52.17
Joshua Howard,59,21.58
Sarah Clark,35,64.84
Elaine Medina,26,59.76
Angela Hensley,54,17.64
Jaime Garrett,31,22.17
Kristen Price,27,69.8
Megan Richards,43,68.1
Julie Burton,52,69.04
Patrick Cox DDS,50,49.92
Kayla Morton,30,51.22
Jonathan Downs,37,63.05
Tracy Brown,54,70.92
Angela Day,51,48.65
Philip Norman,25,51.88
Susan Hood,38,51.02
Daniel Johnson,56,15.78
Michael Davis,35,41.93
Angela Robertson,40,32.03
Mr. Michael Carson,35,35.05
Anthony Lewis,33,32.52
Matthew Potter,35,57.41
Frederick Wilson,50,28.3
Barbara Campbell,41,40.14
Richard Roberts,28,48.88
Emma Taylor,37,20.87
Amber Foster,55,39.6
Erin Yang,20,51.01
Jennifer Ballard,53,63.45
Robert Walsh,38,69.53
Yolanda Torres,24,35.02
Todd Burch Jr.,43,64.12
Dana Kim,33,33.16
Tina Bruce,39,41.57
Sheila Arnold,29,35.72
Samantha Thompson,35,65.49
Angela Jones,59,38.6
Jason Moody,58,33.69
Heather Bryant MD,45,18.12
Kyle Cox,48,68.97
Lori Perez,50,68.86
Justin Zimmerman,37,59.71
Kyle Perez,51,10.7
Shane Schultz,46,67.95
Morgan Martinez,36,51.64
Vincent Beard,31,38.1
Steven Smith,24,50.32
Scott Jordan,50,68.75
Michelle Lam,28,58.74
Shirley May,47,30.35
Robin Rodriguez,31,11.59
Wanda Thomas,43,72.38
Parker Chang,22,65.99
Jacob Curry,34,20.5
Tina Mcdonald,24,58.35
Jessica Crawford,38,21.91
Valerie Fitzgerald,57,12.55
Deborah Fowler,25,32.64
Mark Franklin,31,65.18
Steven Perry,46,41.82
Laura Rhodes,32,25.59
William Taylor,60,68.05
Cameron Holmes,54,45.42
Todd Richardson,36,72.97
Anthony Barber,39,27.65
Nicole Wilcox,44,73.75
Christopher Garza,40,28.53
Brenda Jenkins,52,54.85
Michelle Blair,21,62.82
Stuart Daniels,42,64.08
Paul Mitchell,56,28.15
Ernest Sanders,39,14.11
Kerri Fowler,50,20.16
Andre Patel,58,34.15
Janice Thompson,36,12.91
Theresa Cannon,24,55.79
Katelyn Lamb,52,48.69
Benjamin Stevenson,52,16.66
Julian Valdez,24,54.43
Crystal Smith,43,20.15
Collin Simpson,38,35.44
Sheena Vasquez,53,22.86
Brian Gonzalez,60,65.38
Sara Blair,60,29.97
Anthony Clarke,30,11.32
Jacqueline Gutierrez,21,16.91
Natasha Campos,47,23.43
April Osborne,49,51.41
Melissa Phillips,28,49.2
Mallory Ellison,24,73.12
Amanda Johnson,56,56.9
Melissa Wallace,40,24.44
Susan Clay,45,68.77
Steven Davis,50,40.18
Gail Ballard,32,38.9
Alyssa Wilson,25,10.77
Brenda Lopez,52,13.78
Timothy Taylor,38,56.79
Clayton James,26,49.55
Jesse Gordon,58,60.91
Sarah Stevenson,28,71.09
Robert Morgan,41,40.35
Ann Hunt,24,46.45
Richard Daniel,41,18.07
Barbara Cooper,27,17.64
Sarah Ward,24,68.4
Rebecca Shaw,23,16.03
Rachael Miller,59,27.78
Sharon Mendoza,52,71.47
Angela Wilson,51,70.78
Michael Schmitt,45,52.56
Chelsea Patel,48,22.66
Holly Burnett,29,61.12
Natalie Tran,57,11.29
Kristi Todd,27,14.28
Billy Lee,50,45.29
Dillon Brock,51,52.94
Felicia Long,27,65.11
Jennifer Parker,24,60.63
Janice Bennett,28,48.93
Emily Wilkins,54,68.35
Mark Cortez,49,38.86
Alex Neal,52,21.51
Frank Vazquez,60,42.26
Stephanie Campbell,23,32.05
Amanda Hayes,28,12.97
Douglas Lee,56,58.22
Anthony Thompson,39,12.11
Jake Perez,35,20.21
Shelly Kelley,45,23.58
Michael Ramsey,36,72.45
Joseph Massey,35,19.52
Lindsey Ward,50,20.73
Megan Weaver,28,45.29
Sheila Lawrence DDS,22,24.8
Rhonda Walker,33,35.08
Gregory Schmitt,30,19.35
Nicholas Weiss,36,31.55
Glenda Johnson,28,62.17
Jason Cortez,52,32.3
Joshua Patrick,60,61.47
Yvonne Schwartz,25,29.99
Travis Burke,23,58.86
Sarah Watson,33,62.79
John Williams,52,39.49
Kyle Henderson,40,30.99
Timothy Stephenson,51,39.0
Maria Clark,50,73.34
Richard Stewart,38,70.44
Drew Martin,60,38.71
Angela Clay,47,45.82
Julie Cabrera,46,36.63
David Montgomery,26,73.18
Paige Maldonado,39,25.95
Lisa Oconnell,44,13.63
George Hernandez,52,35.81
Erica Butler,49,28.28
Amy Hunter,60,72.62
Daniel Ferguson,53,46.09
Joshua Carter,34,39.01
Edward Watkins,31,16.07
William Woodward,45,41.47
Deborah Mckay,44,68.42
Kelsey Barrett,49,16.56
Jaclyn Reyes,34,67.6
Dawn Mcclain,23,52.51
Patrick Zimmerman,51,47.2
Cory Peters,48,15.56
Kenneth Robinson,32,46.52
Thomas Estrada,27,70.07
Tara Fields,45,29.61
Erika Medina,57,10.57
Leslie Phillips,28,19.23
Amber Kennedy,47,74.08
Brent Hernandez,34,38.68
James Baldwin,38,48.24
Jordan Chen,54,39.6
Rebecca Brooks,46,32.17
Ashley Turner,58,69.57
Nichole George,26,41.67
Cynthia Glenn,58,71.9
Angela Peters,56,66.46
Kelsey Dunn,25,46.23
Lisa Dalton,49,33.0
Kristen Bryant,24,34.83
Stacey Murray,59,30.37
Ronald Sullivan,35,13.27
Heather Torres,49,67.0
Warren Avery,46,30.22
Michael Burton,36,52.31
Sarah Best,52,73.65
Christopher May,38,69.77
Kristin Mcdonald,35,73.92
Tonya Gonzalez,52,66.0
Christina Estrada,35,18.61
Sandra Diaz,58,55.67
Jamie Jackson,26,61.92
Samuel Mendez,47,41.17
Eric Lewis,29,14.34
Jill Taylor,55,19.55
Todd Gordon,54,70.9
Diana Baker,47,73.25
Hannah Brown,37,65.01
Kevin Garcia,29,55.75
Barbara Bush,25,44.8
Melissa Wang,21,27.75
Jessica King,54,58.78
Mr. Jason Ayala,33,72.85
Samantha Manning,51,59.66
John Robinson,50,28.23
Michael Robles,41,48.78
Hannah Terry,46,72.54
John Hawkins,46,69.64
Jeffrey Thompson,29,74.73
Anthony Bradley,60,21.62
Connie Clark,25,46.01
Denise Gallegos,53,60.57
Michele Dean,52,22.01
Jordan Black,45,71.91
Ryan Brandt,60,37.86
Manuel Roberts,33,70.25
Tammy Archer,59,33.71
Angela Adams,60,55.76
Clifford Watkins,45,19.02
George Graves,34,60.03
Angela Chung,59,33.41
Marcus Farrell,32,45.3
Michael Chang,21,15.56
Mary Cruz,51,66.6
Nicholas Foster,38,40.82
Jeff Lee,30,57.57
Joseph Harrison,46,27.02
Helen Thomas,57,37.72
Jonathan Austin,34,62.07
Crystal Thomas,44,55.27
Yolanda Lewis,36,35.55
Mr. Brian Mcdonald DDS,55,74.09
William Williams,22,36.98
Stephen Edwards,41,54.26
Michael Randall,46,68.25
Angel Smith,25,44.98
Thomas Cummings,24,52.59
Austin Riley,38,47.97
Dylan King,31,23.0
James Lawrence,20,13.57
Kristen Reyes,21,43.24
Lori Alvarado,47,62.31
Lori Sharp,34,23.99
Laura Anderson,36,19.74
April Tucker,60,35.86
David Bowers,56,54.03
Joseph Anthony,28,22.55
Richard Cain,48,22.9
Jesus Mitchell,39,59.38
Christopher Pope,28,61.97
Dawn Oliver,22,24.61
Daniel Vargas,42,30.49
Paula Poole,23,51.45
Emily Suarez,22,12.29
Jeremy Williams,27,60.02
Patrick Brown,31,68.51
John Miller,40,40.98
Michael Wilcox,39,55.5
Monica Wilson,58,56.81
Andrea Bartlett,29,55.47
Marcus Evans,57,13.41
Cheryl Anderson,42,52.7
Joseph Chan,32,23.78
Carol Lowery,37,74.49
Mark Crawford,46,40.36
Kim Hughes,47,10.7
Zachary Miller,38,24.53
James Clark,20,28.59
Ryan Short,50,18.34
Jeffery Moore,27,64.15
Leslie Sims,51,15.52
William Sanchez,55,54.75
Kimberly Reyes,37,73.71
Steven Guerrero,23,10.53
Curtis Blake,53,55.45
Joshua Thomas,56,19.38
Danielle Anderson,23,24.78
Paula Tran,34,36.54
Katie Farrell,33,72.28
Katie Lewis,57,10.76
Crystal Pollard,56,65.9
David Leon,45,42.54
Madison Smith,37,49.1
Mark Moore,32,55.75
Jeffery Wilson,58,22.44
Melissa Ibarra MD,45,49.52
Steven Hickman II,48,22.34
Corey Robinson,57,67.0
Michael Castillo,35,11.5
Brandi Reed,38,13.8
Mr. Jesse Barrett,22,20.7
Robert Lang,27,38.21
George Acosta,53,26.76
Jessica Miller,47,15.88
Frank Wilson,56,15.9
Lauren Bentley,43,29.78
Christopher Rodriguez,38,63.07
Barbara Dyer,22,46.23
Eric Bright MD,36,44.45
Matthew Woods,51,17.21
Dawn Gillespie,24,22.49
Amber Dickerson,26,10.16
Daniel Higgins,27,41.49
Mrs. Tiffany Mcknight,33,40.78
Vincent Marquez,40,40.43
Jose Johnson,52,10.44
Michelle Clarke,50,32.74
Larry Flores,45,52.85
Ashley Ford,45,28.85
Lisa Lopez,41,13.67
David Castro,45,16.3
Cynthia Harrison,52,70.29
Leslie Sanders,43,57.48
Monica Carey,50,51.44
Daniel Jones,23,69.82
Scott Hernandez,42,42.2
Lisa Castillo PhD,56,72.71
Sarah Coleman,43,12.23
Carrie Ray,58,59.25
Amanda Miller,47,57.49
Erin Taylor,41,24.18
Zachary Burns,50,40.18
Matthew Wise,32,14.25
Brett Reyes,42,24.23
Sheri King,52,46.61
Johnny Gray,48,69.89
Jill Schultz,25,38.6
Cindy Jordan,53,16.24
Edward Rogers,37,50.09
Jamie Campbell,57,46.48
Michelle Ramirez,59,69.01
John Daniels,36,61.48
Jennifer Knox,46,20.28
Amanda Matthews,50,18.39
Brian Davis,37,48.16
Dr. Rodney Ruiz,45,42.95
Nicole Ramirez,57,64.39
David Martin,51,34.43
Jaime Gutierrez,32,54.89
Christian Hernandez,23,44.46
Kenneth Hayes,26,34.03
Phillip Thompson,23,48.91
Brooke Delgado,52,41.46
Joseph Tanner,60,16.65
Gabrielle Rowland,52,27.51
Sabrina Bailey,31,15.44
Christopher Garner,46,14.91
Kim Johnson,31,47.5
Jordan Stone,30,19.85
Michele Wilcox,60,22.37
Stacey Orozco,41,44.64
Alex Lewis,32,34.98
Stephen Joyce,58,58.3
Samantha Martin,46,11.18
Sarah Huber,26,33.74
Cody Young,60,57.11
Christopher Jones,29,33.93
Christine Medina MD,22,14.61
Tara Davis,53,26.05
Michele Beasley,33,72.49
Isaac Duarte,25,26.1
Robert Santana,32,24.0
Tabitha Sullivan,33,51.03
Morgan James,33,55.26
Rhonda Shepherd,59,36.75
Charles Day,20,53.94
Christina Strickland,31,18.79
Timothy Ward,32,71.86
Margaret Mays,33,50.47
Elizabeth Brown,54,25.5
Tonya Zamora,49,69.29
Amber Thomas,57,69.37
Terri Stevens,26,12.08
Sharon Jackson,35,37.35
Holly Horton,42,37.97
Lauren Li,20,25.93
Terry Waller,45,62.55
Stephanie Davis,35,35.37
Stephanie Frye,57,72.53
Evan Crawford,40,36.81
Shannon Thomas,36,18.02
Allison Harris,43,32.66
Lisa Gonzales,25,31.43
Paul Williams,36,68.1
Nicholas Castro,27,50.72
Richard Brown,56,21.9
Chad Raymond,22,27.94
Philip Sosa,21,31.47
Ashlee Atkinson,21,26.77
Aaron Stewart,31,46.98
Bryan Roberts,47,14.31
Sandra Davis,21,70.33
Gary Ayala,47,46.52
Mary Mckinney,43,52.94
Danielle Chaney,43,15.67
Timothy Robertson,37,63.1
Cassandra Stewart,34,13.79
Stephen Mercer,31,19.97
Michael Koch,30,61.37
Veronica Mcdowell,48,72.71
Tiffany Gray,52,34.89
Linda Gomez,52,38.7
Jennifer Bishop,53,69.69
Martha Lopez,45,44.49
Jennifer Green,55,19.81
Kimberly Mccarty,20,64.16
Jenna Brown,23,56.25
Erin Spencer,21,72.47
Michelle Duke,49,63.38
Lisa Mcmahon,45,11.88
Jennifer Acevedo,53,15.15
Julie Blair,41,67.57
Jennifer Ferguson,47,29.84
Jeremy Gutierrez III,36,30.73
Steven Solomon,56,47.94
Danielle Wright,33,71.12
Philip Wilson,26,17.5
Christopher Bowen,21,54.91
Patricia Graham,51,31.34
Nathan Bryant,27,23.22
Kyle Garcia,27,45.32
Michelle Parker,45,50.8
Robert Long,23,42.67
Erica Torres,60,60.26
Nathan White,58,13.58
Justin Oconnell,20,22.75
Sean Johns,59,49.22
Mary Wu,24,23.1
Ashley Smith,36,43.17
Megan Palmer,51,15.3
Cory Baker,23,35.17
Anne Tyler,30,43.52
Jessica Andrade DDS,34,21.55
Olivia Richardson,29,47.49
Terri Ellis,23,34.36
Mrs. Alexis Curry,46,62.7
Lisa Russell,25,55.53
Christy Collins,37,68.62
David Farley,59,26.69
Andrew Wheeler,42,38.28
Julia Garza,27,51.93
Vickie Cowan,31,29.41
Christopher Woods,32,25.53
Kylie Chapman,46,58.85
Meghan Peters,49,23.08
John Huang,36,17.91
Brian Bryant,35,32.73
Jessica Rodriguez,51,35.09
Jamie Thompson,56,13.7
Kathryn Davis,41,58.39
Kathleen Miranda,58,31.27
Linda Jones,38,56.77
Rachel Thompson,32,50.12
Cindy Holloway,39,17.16
Paige Dickerson,30,14.34
Robert Sanchez,38,12.2
Jason Hunter,59,38.87
Donald Daniels,26,22.99
Tina Parker,55,19.6
Diana Nelson,36,55.08
Brittany Brown,30,38.02
Laura Rollins,48,25.47
Jason Chambers,43,14.69
Dylan Munoz,27,37.03
Austin Wang,37,71.05
Cory Walter,21,18.7
John Jackson,45,23.51
Monica Carter,32,11.25
Kristi Snyder,28,54.71
Mark Lutz,57,33.17
Roberto Johnson,59,29.3
Jesus Campbell,27,50.54
Carl Wilkinson,26,46.41
Ethan Harris,24,65.85
Jeremy Johnson,43,48.29
Karen Walker,45,68.21
Valerie Barnett,52,17.74
Brandon Garcia,58,51.27
Lisa Perry,52,21.2
Anthony Williams,27,21.71
Mary Martinez,30,45.77
Anthony Norman,32,28.99
Julie Williams,52,71.3
Jessica Park,40,48.58
Austin Reilly,47,57.81
Robert Henson,47,64.4
Kim Bradley,29,18.06
Jason Lewis,44,25.31
Mr. Daniel Fisher,49,65.48
Kimberly Nelson,33,52.76
Valerie Davis,39,33.85
Mary Henderson,22,37.04
Veronica Anderson,54,40.62
Rebecca Walker,36,41.54
Tina Henderson,26,60.42
Miss Kristin Adams,31,47.02
Shannon Brown,56,73.62
Steven Norman,20,15.14
Jose Young,40,73.35
Justin Alvarado,24,53.77
Joshua Fernandez,55,23.81
Debbie Ramsey,51,52.49
Thomas Kelley,48,59.3
Amber Carpenter,42,22.0
Michael Gamble,25,50.87
James Watson,37,58.04
Dylan Chandler,45,47.04
Tina Mcdaniel,59,54.51
Edward Proctor,60,13.86
Jeffrey Taylor,59,38.95
Amanda Moore,32,35.04
Jeffrey Roberts,32,59.02
Aimee Richmond,60,66.77
Jesus Lee,28,32.01
Jessica Larson,21,52.17
Carla Hicks,56,62.35
Noah Allen,27,68.02
Philip Walker,25,24.74
Ryan Blackburn,43,18.54
Diana Phelps,40,23.27
Anna Robinson,51,37.71
Julie Webb,42,57.7
Shannon Martinez,60,65.82
Terri Boyd,56,44.04
Katherine Mcdonald,58,47.72
Connor Brown,40,24.87
Nicole Aguilar,29,18.51
Katelyn Young,43,19.48
Tracy Perez,20,70.84
Mario Johnson,33,62.89
Jennifer Knox,47,41.45
Jordan Jones,37,71.27
Charles Smith,38,31.38
Melissa Anderson,22,18.39
Brenda Burns,34,36.31
Tracy Reed,52,41.64
Hannah Wilcox,57,30.85
Alexander Williams,50,39.89
Sherry Leblanc,39,15.04
Douglas Pena,58,62.8
James Rivas,21,41.08
Jaime Delgado,27,49.45
Rhonda Edwards,46,57.15
Christine Garcia,28,17.8
Heather Davidson,21,54.65
Barbara King,52,68.48
Jennifer Tucker,32,44.67
Steven Price,25,41.61
Kristen Jones,39,44.17
Donna Bell,27,46.67
Rebecca Lee,42,14.53
Stefanie Lane,24,11.93
Todd Schultz,35,67.43
Christine Ferguson,44,48.4
Jennifer Ruiz,51,51.14
Gary Brock,57,23.71
Jean Carter,43,41.54
Robert Serrano,54,21.66
Samuel Hicks,23,46.95
Michael Hill,26,66.87
Nicole Rosales,26,28.23
Felicia Anderson,36,65.93
Michael King,34,70.37
Kevin Gardner,54,48.45
Dawn Gray,27,33.1
Jermaine Rivera,41,39.25
Nathan Mitchell,59,18.13
Roberto Jones,31,57.09
Ryan Tran,57,43.26
Bryan Clarke,47,27.59
Mary Rowe,33,65.47
Christina Weiss,59,49.38
Jason Petty,47,46.1
Vincent Garza,36,28.64
Dr. Shane Owen,28,45.37
Patrick Allison,45,56.73
Christopher Wheeler,58,30.79
Michael Barnett,32,37.03
Cody Stewart,53,60.7
Alexander Tran,59,10.44
Maria Smith,31,65.54
Joseph Mccarty,59,59.57
Briana Lawson,41,31.12
Richard Thompson,60,74.07
Michael Obrien,21,54.55
Christopher Nguyen,30,46.72
Victoria Wright,38,62.66
Heather Mcdonald,34,53.84
Jacqueline Maxwell,32,58.05
Susan Brown,32,34.26
Katherine Wood,31,51.7
Daniel Hartman,55,39.15
Cole Maldonado,44,10.07
Jamie Martinez,50,33.38
Michelle Wilson,56,30.23
Dennis Hardy,23,12.92
Andrew Ryan,57,17.1
Dr. Melissa Zavala,55,42.34
Taylor Thompson,50,63.51
Jesse Walker,29,33.26
Christopher Torres,35,40.82
Brad Fritz,53,47.9
Matthew Morris,43,35.24
Thomas Kent,41,35.29
Tami Griffith,20,24.01
Christopher Hodge,42,55.01
John Lawrence,53,41.38
Dana Bartlett,46,15.73
Angela Schmidt,48,72.45
Amanda Ortega,38,35.5
Connor Gardner,53,63.7
Mary Hubbard,56,30.15
Theodore Brown,48,26.87
Brian Dean,38,37.21
Stephen Smith,52,47.37
Mark Boyd,33,52.96
Andrew Brown,40,50.66
Hunter Hamilton,23,73.32
Victor Huffman,40,62.11
Allison Heath,57,36.24
Steve Hart,28,33.64
Randy Brown,44,73.79
Justin Adams,30,36.01
Brandon Harvey,42,68.91
Michael Wallace,47,23.74
Holly Mills,53,43.49
Phillip Hardy,49,11.57
Vernon Russell,25,50.64
Nancy Ray,45,15.85
Brandon Ford,48,60.79
Tyler Moreno,34,34.63
Dr. Sharon Gordon,21,31.22
Brian Wright,40,64.75
Valerie Bass,41,17.2
Joshua Moore,42,65.2
Roy Johnson,52,27.42
Jessica Hoffman,25,41.01
Heidi Fisher,43,28.42
Daniel Patterson,33,56.26
Amber Alexander,53,35.42
Barbara Kim,26,70.7
Valerie Williamson,57,66.99
Daniel Henderson,48,51.98
Gina Estrada,21,55.61
William Christensen,33,40.04
Kayla Smith,33,38.22
Brenda Ibarra,44,62.58
Brandon Bailey,58,32.59
Richard Brown,44,38.48
Victoria Curry,51,29.16
Wesley Cook,43,36.75
Brandon Navarro,40,33.43
Maria Tate,26,20.76
Benjamin Carter,53,25.17
Christine Ruiz,24,37.06
James Wilson,35,26.16
Kim Rasmussen,20,71.04
Traci Howard,53,16.4
Edwin Smith,33,22.93
Thomas Elliott,59,48.85
Katherine Nguyen,32,16.08
Robert Simmons,36,54.13
Shannon Mcintyre,29,67.38
Howard Shaffer,35,20.86
Elizabeth Reed,32,20.12
